Dahboard title,description,get,from,aggregator,by value,viz,graph title,name of dashboard,create
CPU Dashboard,cpu metrics,system.cpu.idle,host:WIN-R92LNL5OUON,avg,host,timeseries,system.cpu.idle,system metric,yes
CPU Dashboard,cpu metrics,system.cpu.user,host:WIN-R92LNL5OUON,avg,,timeseries,system.cpu.user,system metric,yes
CPU Dashboard,cpu metrics,system.cpu.guest,,avg,host,timeseries,system.cpu.guest,system metric,yes
CPU Dashboard,cpu metrics,system.cpu.system,host:WIN-R92LNL5OUON,avg,host,timeseries,system.cpu.system,system metric,yes
CPU Dashboard,cpu metrics,system.cpu.stolen,host:WIN-R92LNL5OUON,avg,host,timeseries,system.cpu.stolen,system metric,yes
CPU Dashboard,cpu metrics,system.cpu.iowait,host:WIN-R92LNL5OUON,avg,,timeseries,system.cpu.iowait,system metric,yes
CPU Dashboard,cpu metrics,system,,,,timeseries,system,system metric,
,,,,,,,,,
ELB Dashboard,elb metrics,aws.elb.latency,host:WIN-R92LNL5OUON,avg,,timeseries,aws.elb.latency,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.latency.p95,,avg,host,timeseries,aws.elb.latency.p95,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.latency.p99,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.latency.p99,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.request_count,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.request_count,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.processed_bytes,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.processed_bytes,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.latency.minimum,,avg,,timeseries,aws.elb.latency.minimum,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.latency.maximum,,avg,host,timeseries,aws.elb.latency.maximum,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_elb_4xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_elb_4xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_elb_5xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_elb_5xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.rule_evaluations,,avg,,timeseries,aws.elb.rule_evaluations,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.healthy_host_count,host:WIN-R92LNL5OUON,avg,,timeseries,aws.elb.healthy_host_count,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.surge_queue_length,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.surge_queue_length,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_target_4xx,host:WIN-R92LNL5OUON,avg,,timeseries,aws.elb.httpcode_target_4xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_target_3xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_target_3xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_target_2xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_target_2xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_target_5xx,,avg,host,timeseries,aws.elb.httpcode_target_5xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_backend_5xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_backend_5xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.new_connection_count,host:WIN-R92LNL5OUON,avg,,timeseries,aws.elb.new_connection_count,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_backend_4xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_backend_4xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_backend_3xx,,avg,host,timeseries,aws.elb.httpcode_backend_3xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.httpcode_backend_2xx,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.httpcode_backend_2xx,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.un_healthy_host_count,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.un_healthy_host_count,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.active_connection_count,,avg,,timeseries,aws.elb.active_connection_count,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.target_response_time.p95,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.target_response_time.p95,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.request_count_per_target,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.request_count_per_target,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.target_response_time.p99,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.target_response_time.p99,elb metric,yes
ELB Dashboard,elb metrics,aws.applicationelb.request_count,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.applicationelb.request_count,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.estimated_processed_bytes,host:WIN-R92LNL5OUON,avg,,timeseries,aws.elb.estimated_processed_bytes,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.backend_connection_errors,,avg,host,timeseries,aws.elb.backend_connection_errors,elb metric,yes
ELB Dashboard,elb metrics,aws.elb.healthy_host_count.minimum,host:WIN-R92LNL5OUON,avg,host,timeseries,aws.elb.healthy_host_count.minimum,elb metric,yes
